condition,idea_id,count,valuable,gold
broad_flat,broad_flat_idea000,11,1,
broad_flat,broad_flat_idea001,7,0,
broad_flat,broad_flat_idea002,9,0,
broad_flat,broad_flat_idea003,6,0,
broad_flat,broad_flat_idea004,8,1,1.0
broad_flat,broad_flat_idea005,4,0,0.0
broad_flat,broad_flat_idea006,6,0,
broad_flat,broad_flat_idea007,6,1,
broad_flat,broad_flat_idea008,4,0,0.0
broad_flat,broad_flat_idea009,9,0,
broad_flat,broad_flat_idea010,4,1,
broad_flat,broad_flat_idea011,4,0,
broad_flat,broad_flat_idea012,2,1,0.0
broad_flat,broad_flat_idea013,2,0,
broad_flat,broad_flat_idea014,7,0,
broad_flat,broad_flat_idea015,4,0,
broad_flat,broad_flat_idea016,6,0,
broad_flat,broad_flat_idea017,5,0,
broad_flat,broad_flat_idea019,4,1,
broad_flat,broad_flat_idea020,5,0,
broad_flat,broad_flat_idea021,4,0,0.0
broad_flat,broad_flat_idea022,5,0,
broad_flat,broad_flat_idea023,6,1,1.0
broad_flat,broad_flat_idea024,2,0,
broad_flat,broad_flat_idea025,6,0,0.0
broad_flat,broad_flat_idea026,1,1,
broad_flat,broad_flat_idea027,5,0,0.0
broad_flat,broad_flat_idea028,3,0,
broad_flat,broad_flat_idea029,3,1,
broad_flat,broad_flat_idea030,5,1,1.0
broad_flat,broad_flat_idea031,5,0,
broad_flat,broad_flat_idea032,4,0,
broad_flat,broad_flat_idea033,4,0,
broad_flat,broad_flat_idea034,2,1,
broad_flat,broad_flat_idea035,4,0,
broad_flat,broad_flat_idea036,5,0,
broad_flat,broad_flat_idea037,2,0,
broad_flat,broad_flat_idea038,2,0,
broad_flat,broad_flat_idea039,5,1,1.0
broad_flat,broad_flat_idea040,2,0,0.0
broad_flat,broad_flat_idea041,3,0,
broad_flat,broad_flat_idea042,2,1,
broad_flat,broad_flat_idea043,3,0,
broad_flat,broad_flat_idea044,4,1,
broad_flat,broad_flat_idea045,3,0,0.0
broad_flat,broad_flat_idea046,1,0,
broad_flat,broad_flat_idea047,3,1,
broad_flat,broad_flat_idea048,2,0,0.0
broad_flat,broad_flat_idea049,3,0,
broad_flat,broad_flat_idea050,3,1,
broad_flat,broad_flat_idea051,2,0,
broad_flat,broad_flat_idea052,7,0,
broad_flat,broad_flat_idea053,3,0,
broad_flat,broad_flat_idea054,4,0,0.0
broad_flat,broad_flat_idea055,2,0,
broad_flat,broad_flat_idea056,7,0,
broad_flat,broad_flat_idea057,2,0,
broad_flat,broad_flat_idea058,1,1,
broad_flat,broad_flat_idea059,2,0,
broad_flat,broad_flat_idea060,1,0,0.0
broad_flat,broad_flat_idea061,3,1,
broad_flat,broad_flat_idea062,3,0,
broad_flat,broad_flat_idea063,1,1,
broad_flat,broad_flat_idea064,2,1,
broad_flat,broad_flat_idea065,2,0,
broad_flat,broad_flat_idea066,4,1,
broad_flat,broad_flat_idea067,5,1,
broad_flat,broad_flat_idea068,4,0,
broad_flat,broad_flat_idea069,4,1,
broad_flat,broad_flat_idea070,2,1,
broad_flat,broad_flat_idea071,1,0,
broad_flat,broad_flat_idea072,5,0,
broad_flat,broad_flat_idea073,3,0,0.0
broad_flat,broad_flat_idea074,1,0,
broad_flat,broad_flat_idea075,4,0,
broad_flat,broad_flat_idea076,1,1,1.0
broad_flat,broad_flat_idea077,3,0,
broad_flat,broad_flat_idea078,2,1,1.0
broad_flat,broad_flat_idea079,4,1,
narrow_peaked,narrow_peaked_idea000,75,0,
narrow_peaked,narrow_peaked_idea001,34,0,
narrow_peaked,narrow_peaked_idea002,24,0,
narrow_peaked,narrow_peaked_idea003,19,0,
narrow_peaked,narrow_peaked_idea004,18,1,
narrow_peaked,narrow_peaked_idea005,7,0,
narrow_peaked,narrow_peaked_idea006,7,0,
narrow_peaked,narrow_peaked_idea007,10,1,1.0
narrow_peaked,narrow_peaked_idea008,9,0,
narrow_peaked,narrow_peaked_idea009,10,0,
narrow_peaked,narrow_peaked_idea010,11,0,
narrow_peaked,narrow_peaked_idea011,6,0,
narrow_peaked,narrow_peaked_idea012,6,1,
narrow_peaked,narrow_peaked_idea013,4,1,0.0
narrow_peaked,narrow_peaked_idea014,4,0,
narrow_peaked,narrow_peaked_idea015,5,0,0.0
narrow_peaked,narrow_peaked_idea016,5,0,
narrow_peaked,narrow_peaked_idea018,3,1,
narrow_peaked,narrow_peaked_idea019,3,1,
narrow_peaked,narrow_peaked_idea020,1,0,
narrow_peaked,narrow_peaked_idea021,1,0,
narrow_peaked,narrow_peaked_idea022,2,1,
narrow_peaked,narrow_peaked_idea023,4,1,
narrow_peaked,narrow_peaked_idea024,4,0,
narrow_peaked,narrow_peaked_idea025,2,0,0.0
narrow_peaked,narrow_peaked_idea026,1,0,0.0
narrow_peaked,narrow_peaked_idea027,3,1,0.0
narrow_peaked,narrow_peaked_idea028,2,0,
narrow_peaked,narrow_peaked_idea029,3,0,0.0
narrow_peaked,narrow_peaked_idea030,2,0,
narrow_peaked,narrow_peaked_idea031,1,1,
narrow_peaked,narrow_peaked_idea032,3,0,
narrow_peaked,narrow_peaked_idea034,1,0,0.0
narrow_peaked,narrow_peaked_idea035,1,0,
narrow_peaked,narrow_peaked_idea037,4,0,
narrow_peaked,narrow_peaked_idea038,2,1,
narrow_peaked,narrow_peaked_idea039,3,1,1.0
