sample_id,condition,idea_id,value
broad_flat_0000,broad_flat,broad_flat_idea039,4.0
broad_flat_0001,broad_flat,broad_flat_idea029,3.0
broad_flat_0002,broad_flat,broad_flat_idea039,4.0
broad_flat_0003,broad_flat,broad_flat_idea036,2.0
broad_flat_0004,broad_flat,broad_flat_idea068,2.0
broad_flat_0005,broad_flat,broad_flat_idea071,2.0
broad_flat_0006,broad_flat,broad_flat_idea008,3.0
broad_flat_0007,broad_flat,broad_flat_idea073,2.0
broad_flat_0008,broad_flat,broad_flat_idea057,3.0
broad_flat_0009,broad_flat,broad_flat_idea042,2.0
broad_flat_0010,broad_flat,broad_flat_idea044,4.0
broad_flat_0011,broad_flat,broad_flat_idea034,2.0
broad_flat_0012,broad_flat,broad_flat_idea070,1.0
broad_flat_0013,broad_flat,broad_flat_idea010,4.0
broad_flat_0014,broad_flat,broad_flat_idea039,4.0
broad_flat_0015,broad_flat,broad_flat_idea060,2.0
broad_flat_0016,broad_flat,broad_flat_idea005,3.0
broad_flat_0017,broad_flat,broad_flat_idea040,3.0
broad_flat_0018,broad_flat,broad_flat_idea022,3.0
broad_flat_0019,broad_flat,broad_flat_idea055,3.0
broad_flat_0020,broad_flat,broad_flat_idea002,1.0
broad_flat_0021,broad_flat,broad_flat_idea040,3.0
broad_flat_0022,broad_flat,broad_flat_idea064,2.0
broad_flat_0023,broad_flat,broad_flat_idea041,2.0
broad_flat_0024,broad_flat,broad_flat_idea016,3.0
broad_flat_0025,broad_flat,broad_flat_idea044,4.0
broad_flat_0026,broad_flat,broad_flat_idea018,3.0
broad_flat_0027,broad_flat,broad_flat_idea045,4.0
broad_flat_0028,broad_flat,broad_flat_idea005,3.0
broad_flat_0029,broad_flat,broad_flat_idea013,3.0
broad_flat_0030,broad_flat,broad_flat_idea000,2.0
broad_flat_0031,broad_flat,broad_flat_idea002,1.0
broad_flat_0032,broad_flat,broad_flat_idea035,4.0
broad_flat_0033,broad_flat,broad_flat_idea010,4.0
broad_flat_0034,broad_flat,broad_flat_idea032,4.0
broad_flat_0035,broad_flat,broad_flat_idea044,4.0
broad_flat_0036,broad_flat,broad_flat_idea067,3.0
broad_flat_0037,broad_flat,broad_flat_idea019,2.0
broad_flat_0038,broad_flat,broad_flat_idea016,3.0
broad_flat_0039,broad_flat,broad_flat_idea016,3.0
broad_flat_0040,broad_flat,broad_flat_idea004,4.0
broad_flat_0041,broad_flat,broad_flat_idea045,4.0
broad_flat_0042,broad_flat,broad_flat_idea060,2.0
broad_flat_0043,broad_flat,broad_flat_idea028,2.0
broad_flat_0044,broad_flat,broad_flat_idea035,4.0
broad_flat_0045,broad_flat,broad_flat_idea075,3.0
broad_flat_0046,broad_flat,broad_flat_idea048,5.0
broad_flat_0047,broad_flat,broad_flat_idea053,4.0
broad_flat_0048,broad_flat,broad_flat_idea067,3.0
broad_flat_0049,broad_flat,broad_flat_idea009,3.0
broad_flat_0050,broad_flat,broad_flat_idea044,4.0
broad_flat_0051,broad_flat,broad_flat_idea050,5.0
broad_flat_0052,broad_flat,broad_flat_idea062,2.0
broad_flat_0053,broad_flat,broad_flat_idea018,3.0
broad_flat_0054,broad_flat,broad_flat_idea047,2.0
broad_flat_0055,broad_flat,broad_flat_idea039,4.0
broad_flat_0056,broad_flat,broad_flat_idea023,3.0
broad_flat_0057,broad_flat,broad_flat_idea003,4.0
broad_flat_0058,broad_flat,broad_flat_idea019,2.0
broad_flat_0059,broad_flat,broad_flat_idea075,3.0
broad_flat_0060,broad_flat,broad_flat_idea009,3.0
broad_flat_0061,broad_flat,broad_flat_idea004,4.0
broad_flat_0062,broad_flat,broad_flat_idea020,3.0
broad_flat_0063,broad_flat,broad_flat_idea003,4.0
broad_flat_0064,broad_flat,broad_flat_idea013,3.0
broad_flat_0065,broad_flat,broad_flat_idea070,1.0
broad_flat_0066,broad_flat,broad_flat_idea016,3.0
broad_flat_0067,broad_flat,broad_flat_idea038,4.0
broad_flat_0068,broad_flat,broad_flat_idea011,4.0
broad_flat_0069,broad_flat,broad_flat_idea045,4.0
broad_flat_0070,broad_flat,broad_flat_idea005,3.0
broad_flat_0071,broad_flat,broad_flat_idea057,3.0
broad_flat_0072,broad_flat,broad_flat_idea024,4.0
broad_flat_0073,broad_flat,broad_flat_idea008,3.0
broad_flat_0074,broad_flat,broad_flat_idea054,3.0
broad_flat_0075,broad_flat,broad_flat_idea035,4.0
broad_flat_0076,broad_flat,broad_flat_idea025,5.0
broad_flat_0077,broad_flat,broad_flat_idea011,4.0
broad_flat_0078,broad_flat,broad_flat_idea056,3.0
broad_flat_0079,broad_flat,broad_flat_idea020,3.0
broad_flat_0080,broad_flat,broad_flat_idea001,3.0
broad_flat_0081,broad_flat,broad_flat_idea076,3.0
broad_flat_0082,broad_flat,broad_flat_idea000,2.0
broad_flat_0083,broad_flat,broad_flat_idea004,4.0
broad_flat_0084,broad_flat,broad_flat_idea027,4.0
broad_flat_0085,broad_flat,broad_flat_idea009,3.0
broad_flat_0086,broad_flat,broad_flat_idea017,4.0
